timestamp,open,high,low,close,volume,Dividends,Stock Splits
2025-04-17 09:30:00-04:00,504.9150085449219,505.4700012207031,503.53009033203125,504.11749267578125,911666,0.0,0.0
2025-04-17 09:31:00-04:00,504.0299987792969,505.6499938964844,503.7900085449219,505.6000061035156,67598,0.0,0.0
2025-04-17 09:32:00-04:00,505.6099853515625,506.3045959472656,504.29998779296875,504.30999755859375,45285,0.0,0.0
2025-04-17 09:33:00-04:00,504.510009765625,504.8299865722656,503.04010009765625,503.4800109863281,60651,0.0,0.0
2025-04-17 09:34:00-04:00,503.4800109863281,504.1000061035156,502.04998779296875,502.364990234375,78400,0.0,0.0
2025-04-17 09:35:00-04:00,502.1400146484375,502.6300048828125,501.54010009765625,501.7300109863281,72626,0.0,0.0
2025-04-17 09:36:00-04:00,501.5400085449219,502.159912109375,500.79998779296875,502.05999755859375,111064,0.0,0.0
2025-04-17 09:37:00-04:00,502.0199890136719,502.37860107421875,501.4100036621094,501.9599914550781,62302,0.0,0.0
2025-04-17 09:38:00-04:00,502.0799865722656,502.1099853515625,501.0400085449219,501.1499938964844,58950,0.0,0.0
2025-04-17 09:39:00-04:00,501.1499938964844,502.1299133300781,500.95001220703125,502.05499267578125,64615,0.0,0.0
2025-04-17 09:40:00-04:00,502.1299133300781,502.19000244140625,501.1401062011719,501.9200134277344,63584,0.0,0.0
2025-04-17 09:41:00-04:00,502.1600036621094,503.8185119628906,502.1600036621094,503.5799865722656,56433,0.0,0.0
2025-04-17 09:42:00-04:00,503.54998779296875,503.83990478515625,502.8500061035156,503.1099853515625,46912,0.0,0.0
2025-04-17 09:43:00-04:00,503.260009765625,504.1098937988281,503.2049865722656,503.55999755859375,52444,0.0,0.0
2025-04-17 09:44:00-04:00,503.69500732421875,504.3399963378906,503.0589904785156,503.30999755859375,57088,0.0,0.0
2025-04-17 09:45:00-04:00,503.260009765625,503.42999267578125,502.3550109863281,502.9549865722656,38470,0.0,0.0
